Date,Temperature,RelHumidity,AtmPressure,Visibility,WindDir,WindSpeed,Precipitation,Snowfall,SnowDepth,Discharge,StageHeight
2017-06-13,74.5,56.458333333333336,29.144455555555556,10.0,142.69323671497585,9.457222222222223,0.0,0.0,0.0,2280.0,9.02
2017-06-14,67.86538461538461,64.78205128205128,29.074525641025655,9.22456140350877,183.78992352676565,9.538675213675214,0.22749999999999998,0.0,0.0,2210.0,8.9
2017-06-15,67.64993842364532,64.9365763546798,29.090922550629443,8.761391625615763,123.29841269841268,6.781417624521073,0.33,0.0,0.0,2230.0,8.93
2017-06-16,67.85,71.6,29.002888888888894,9.717911877394636,144.07662835249042,8.266666666666667,0.285,0.0,0.0,2300.0,9.05
2017-06-17,70.08108108108108,82.95945945945945,28.923608345187308,8.203769559032716,173.00654413812308,7.796204098835678,0.535,0.0,0.0,2840.0,9.85
2017-06-18,63.88756613756614,82.31150793650794,28.912231040564375,8.5326278659612,209.64444444444447,11.578924162257495,0.0,0.0,0.0,3020.0,10.11
2017-06-19,61.93,78.34,28.9928,8.466666666666667,196.39444444444447,7.64,0.0,0.0,0.0,3020.0,10.11
2017-06-20,65.51041666666667,63.0625,29.023966666666656,10.0,186.27923976608187,6.95388888888889,0.0,0.0,0.0,2650.0,9.57
2017-06-21,67.57051282051282,67.3076923076923,28.974358974358978,9.803418803418802,193.76068376068375,8.034188034188034,0.0,0.0,0.0,2380.0,9.16
2017-06-22,72.5925925925926,69.9074074074074,28.927958553791893,10.0,193.63315696649033,8.97663139329806,0.2625,0.0,0.0,2270.0,9.0
2017-06-23,69.60454204204204,72.51801801801803,28.95267096043411,9.79054054054054,255.96846846846847,11.300234444971286,0.14250000000000002,0.0,0.0,2170.0,8.84
2017-06-24,62.78125,61.60416666666667,29.01364444444444,9.944444444444445,262.2420634920635,10.610555555555555,0.0,0.0,0.0,2170.0,8.84
2017-06-25,60.71875,71.97916666666666,29.011688888888887,9.447916666666666,242.75,10.972222222222221,0.0,0.0,0.0,2070.0,8.69
2017-06-26,61.25416666666666,66.80666666666667,29.106972222222222,10.0,223.12222222222223,9.763333333333334,0.0,0.0,0.0,1980.0,8.55
2017-06-27,56.4375,71.125,29.17383333333333,9.712777777777779,135.50120772946858,8.287777777777778,0.0,0.0,0.0,1970.0,8.53
2017-06-28,64.375,87.44791666666667,29.063489229024942,9.11139455782313,137.8871158392435,10.858134920634923,0.25,0.0,0.0,2000.0,8.58
2017-06-29,65.84615384615384,83.65384615384616,29.033599240265904,9.864197530864198,177.60208926875592,9.243589743589745,0.065,0.0,0.0,1960.0,8.52
2017-06-30,62.63978494623656,78.29623655913977,29.07834498207885,9.707638888888889,184.0255376344086,8.091353046594982,0.05,0.0,0.0,2390.0,9.18
2017-07-01,64.89583333333334,74.8125,29.064444444444447,8.777777777777777,192.7475845410628,7.430555555555556,0.0,0.0,0.0,3390.0,10.65
2017-07-02,69.83333333333333,77.66666666666666,29.02787777777778,10.0,191.31464904802502,6.3933333333333335,0.0,0.0,0.0,3560.0,10.88
2017-07-03,65.04807692307692,84.24501424501423,28.982060778727455,9.512820512820513,168.0769230769231,6.464387464387464,0.0,0.0,0.0,3560.0,10.89
2017-07-04,65.95833333333333,77.29166666666667,29.026364734299516,6.780555555555555,170.39420289855073,5.5505555555555555,0.0,0.0,0.0,3500.0,10.8
2017-07-05,70.66304347826087,80.43478260869566,29.044614797864217,8.709309211448433,134.90521494009866,4.74899784150478,0.0,0.0,0.0,3200.0,10.37
2017-07-06,68.4375,88.14583333333334,29.050416666666678,6.86292270531401,166.38888888888889,4.027777777777778,0.25,0.0,0.0,2780.0,9.77
2017-07-07,71.99591503267973,69.01225490196079,29.049522222222222,9.329861111111112,259.59541062801935,10.32,0.18666666666666668,0.0,0.0,2410.0,9.23
2017-07-08,68.72666666666666,67.96944444444445,29.07597777777778,9.84,255.5936507936508,8.666666666666666,0.0,0.0,0.0,2170.0,8.87
2017-07-09,69.34694444444445,70.49777777777778,29.07808888888889,10.0,260.12626262626264,9.04277777777778,0.0,0.0,0.0,1980.0,8.59
2017-07-10,68.09693195219512,69.9404992036571,29.06886578886579,9.434684684684685,260.72072072072075,8.993896730738836,0.6124999999999999,0.0,0.0,1850.0,8.39
2017-07-11,68.45822206095791,72.68436551979282,29.105799080793417,8.49666918049271,168.4409070181984,4.59663763909047,0.0125,0.0,0.0,1750.0,8.24
